WSID,Software,Shop Name,,total 48mo,contract,delta 10/15,,,total 48mo,,Bday Months,,,,,,,,,,,,,Tday months,,,,,,,,,,,
1029,Tek,Matt's Automotive Service Center Pine City,1029,"1,384","1,527",-143,121,"1,263","1,384","1,263",137,94,106,109,119,111,114,115,101,90,83,84,121,0,18,6,3,0,1,0,0,11,22,32,28
1030,Tek,Matt's Automotive Service Center NOMO,1030,"1,545","1,396",149,305,"1,240","1,545","1,240",124,93,120,109,108,114,99,99,97,74,92,111,305,4,35,8,19,20,14,29,29,31,63,36,17
1031,Tek,Matt's Automotive Service Center Fargo,1031,"2,663","2,727",-64,678,"1,985","2,663","1,985",216,143,139,154,158,170,203,167,161,169,144,161,678,5,78,93,67,63,51,18,54,60,52,77,
1032,Tek,Matt's Automotive Service Center SOMO,1032,"1,127","1,189",-62,203,924,"1,127",924,109,68,89,69,77,68,70,96,74,83,59,62,203,0,24,3,23,15,24,22,0,18,9,35,30
1033,Tek,Matt's Automotive Service Center S Fago,1033,"1,388","1,407",-19,277,"1,111","1,388","1,111",112,82,88,93,82,89,102,104,79,89,81,110,277,3,33,27,22,33,26,13,11,44,26,34,5
1034,Tek,Matt's Automotive & Collision Center Collision,1034,932,829,103,187,745,932,745,71,65,57,51,58,63,71,47,72,62,62,66,187,6,12,20,26,19,14,6,38,5,15,15,11
1035,Tek,Matt's Automotive Service Center Bloomington,1035,"3,461","3,360",101,320,"3,141","3,461","3,141",358,216,274,233,233,285,251,247,240,308,251,245,320,0,70,4,45,45,0,27,31,38,0,27,33
1036,Tek,Matt's Automotive Service Center Columbia Heights,1036,603,305,298,175,428,603,428,49,26,30,41,37,35,35,35,33,35,39,33,175,1,27,20,9,13,15,15,15,17,15,11,17
1037,Tek,Matt's Automotive Service Center Willmar,1037,"1,220","1,244",-24,217,"1,003","1,220","1,003",102,74,98,77,84,70,81,86,93,79,71,88,217,0,27,3,24,17,38,20,15,8,22,30,13
1038,Tek,Matt's Automotive Service Center North Branch,1038,"1,165",851,314,120,"1,045","1,165","1,045",111,85,72,80,96,87,96,97,78,75,76,92,120,0,10,28,15,0,8,0,0,17,20,19,3
1039,Tek,Doc Motor Works inc.,1039,"3,510","2,607",903,347,"3,163","3,510","3,163",235,222,285,273,259,265,282,289,287,265,268,233,347,57,76,7,19,33,27,10,3,5,27,24,59
1040,Tek,Geneva Foreign & Sports,1040,"3,473","3,000",473,345,"3,128","3,473","3,128",273,230,263,261,250,311,248,252,277,263,266,234,345,14,62,24,26,37,0,39,35,10,24,21,53
1041,Tek,Advanced Automotive Performance,1041,"1,863","1,418",445,140,"1,723","1,863","1,723",143,126,161,136,155,141,158,172,123,128,135,145,140,9,26,0,16,0,11,0,0,30,24,17,7
1042,Tek,Obsidian Motors and Repair,1042,45,44,1,15,30,45,30,2,1,1,5,2,1,1,3,2,1,7,4,15,1,4,2,0,1,2,2,0,1,2,0,0
1043,Tek,John's Auto Care,1043,"1,238","1,135",103,252,986,"1,238",986,131,80,66,79,94,79,67,71,88,91,63,77,252,0,20,34,21,6,21,33,29,12,9,44,23
1044,Tek,Bennett's Automotive,1044,"3,366","3,338",28,422,"2,944","3,366","2,944",271,207,246,229,253,260,268,246,260,249,222,233,422,9,79,34,51,27,20,12,34,20,31,58,47
1045,Tek,Sneller Tire Auto & Diesel Repair,1045,"2,655","2,858",-203,285,"2,370","2,655","2,370",204,185,193,179,185,196,204,193,216,226,197,192,285,16,35,27,50,35,24,16,27,4,0,23,28
1046,Tek,Titan Auto Tech,1046,226,545,-319,18,208,226,208,33,12,20,14,12,17,17,14,20,10,19,20,18,0,4,0,2,4,0,0,2,0,6,0,0
1047,Tek,Off Campus Auto Repair LLC,1047,"2,295","1,135","1,160",451,"1,844","2,295","1,844",164,140,152,165,149,151,153,164,160,148,148,150,451,27,54,39,26,42,40,38,27,31,43,43,41
1048,Tek,Alternative Auto Care,1048,"1,791","1,462",329,209,"1,582","1,791","1,582",200,118,126,135,124,151,121,136,132,127,107,105,209,0,26,18,9,20,0,23,8,12,17,37,39
1049,Tek,TOS Auto Repair,1049,"2,687","2,498",189,389,"2,298","2,687","2,298",179,168,202,189,191,210,209,202,206,191,177,174,389,44,66,21,34,32,13,14,21,17,32,46,49
1050,Tek,Elysian Auto Service,1050,976,895,81,78,898,976,898,88,67,61,72,70,67,75,93,77,71,59,98,78,0,10,16,5,7,10,2,0,0,6,22,0
1051,Tek,East Rock Auto Repair,1051,"2,010","1,549",461,553,"1,457","2,010","1,457",123,118,123,125,126,109,132,130,137,118,103,113,553,44,49,44,42,41,58,35,37,30,49,70,54
1052,Tek,Safeway Oil Change & Automotive Services,1052,"2,883","2,345",538,369,"2,514","2,883","2,514",214,205,231,205,199,219,215,221,218,205,176,206,369,26,35,9,35,41,21,25,19,22,35,67,34
1053,Tek,Epoch Automotive,1053,446,393,53,56,390,446,390,38,26,41,28,40,31,22,36,37,33,30,28,56,0,10,0,8,0,5,16,0,0,3,6,8
1054,Tek,Complete Car Care Encinitas,1054,"5,921","7,353","-1,432",844,"5,077","5,921","5,077",473,394,383,431,443,443,405,421,444,423,392,425,844,20,99,115,62,50,50,88,72,49,70,101,68
1055,Tek,Ideal Automotive,1055,"1,388","1,309",79,224,"1,164","1,388","1,164",154,78,80,78,83,91,109,107,92,89,101,102,224,0,36,32,34,29,21,3,5,20,23,11,10
1056,mit,St. Joseph Automotive & Diesel,1056,"1,243","1,178",65,158,"1,085","1,243","1,085",89,86,93,105,92,90,90,89,105,79,75,92,158,14,17,10,0,11,13,13,14,0,24,31,11
1057,Tek,Pitts Automotive,1057,,,,744,"2,508",,"2,508",210,196,209,194,190,216,224,221,214,214,206,214,744,61,75,62,77,81,55,47,50,57,57,65,57
1058,Tek,Next Level Automotive,1058,"1,320","1,342",-22,204,"1,116","1,320","1,116",80,89,113,103,87,102,84,99,102,100,67,90,204,29,20,0,6,22,7,25,10,7,9,50,19
1059,Tek,Mechanic One,1059,"2,190","2,302",-112,466,"1,724","2,190","1,724",317,129,130,117,141,158,118,117,137,124,136,100,466,0,41,40,53,29,12,52,53,33,46,34,73
1060,Tek,A-PLUS AUTOMOTIVE,2734,"2,138","2,204",-66,603,"1,535","2,138","1,535",150,121,109,115,98,128,142,149,133,121,136,133,603,28,57,69,63,82,50,36,29,45,57,42,45
2000,Tek,Primary Care Auto Repair,572,,,,285,"1,631",,"1,631",158,125,148,137,124,135,159,140,132,127,114,132,285,1,34,11,22,35,24,0,19,27,32,53,27
